"filename", "language", "CSS", "TypeScript", "TypeScript JSX", "Markdown", "comment", "blank", "total"
"e:\project_program\project_blockos\src\App.tsx", "TypeScript JSX", 0, 0, 441, 0, 41, 58, 540
"e:\project_program\project_blockos\src\__tests__\README.md", "Markdown", 0, 0, 0, 291, 0, 94, 385
"e:\project_program\project_blockos\src\__tests__\ShadcnTest.tsx", "TypeScript JSX", 0, 0, 213, 0, 10, 14, 237
"e:\project_program\project_blockos\src\__tests__\unit\utils\uuid.test.ts", "TypeScript", 0, 25, 0, 0, 9, 6, 40
"e:\project_program\project_blockos\src\components\layout\ActivityBar.tsx", "TypeScript JSX", 0, 0, 69, 0, 2, 5, 76
"e:\project_program\project_blockos\src\components\layout\ResizeHandle.tsx", "TypeScript JSX", 0, 0, 60, 0, 3, 14, 77
"e:\project_program\project_blockos\src\components\layout\Sidebar.tsx", "TypeScript JSX", 0, 0, 130, 0, 7, 11, 148
"e:\project_program\project_blockos\src\components\layout\StatusBar.tsx", "TypeScript JSX", 0, 0, 104, 0, 3, 8, 115
"e:\project_program\project_blockos\src\components\layout\TabBar.tsx", "TypeScript JSX", 0, 0, 175, 0, 8, 15, 198
"e:\project_program\project_blockos\src\components\panel\PreviewPanel.tsx", "TypeScript JSX", 0, 0, 225, 0, 10, 15, 250
"e:\project_program\project_blockos\src\components\panel\RightPanel.tsx", "TypeScript JSX", 0, 0, 727, 0, 19, 47, 793
"e:\project_program\project_blockos\src\components\panel\SessionHistoryPanel.tsx", "TypeScript JSX", 0, 0, 102, 0, 0, 7, 109
"e:\project_program\project_blockos\src\components\panel\SettingsPanel.tsx", "TypeScript JSX", 0, 0, 206, 0, 0, 17, 223
"e:\project_program\project_blockos\src\components\project\ProjectOverview.tsx", "TypeScript JSX", 0, 0, 189, 0, 8, 23, 220
"e:\project_program\project_blockos\src\components\shared\MarkdownRenderer.tsx", "TypeScript JSX", 0, 0, 99, 0, 10, 14, 123
"e:\project_program\project_blockos\src\components\shared\SyncStatusIndicator.tsx", "TypeScript JSX", 0, 0, 54, 0, 0, 9, 63
"e:\project_program\project_blockos\src\components\shells\API.md", "Markdown", 0, 0, 0, 341, 0, 103, 444
"e:\project_program\project_blockos\src\components\shells\BlockCardShell.tsx", "TypeScript JSX", 0, 0, 58, 0, 6, 4, 68
"e:\project_program\project_blockos\src\components\shells\EmptyState.tsx", "TypeScript JSX", 0, 0, 45, 0, 6, 3, 54
"e:\project_program\project_blockos\src\components\shells\PanelHeader.tsx", "TypeScript JSX", 0, 0, 46, 0, 6, 3, 55
"e:\project_program\project_blockos\src\components\shells\PanelShell.tsx", "TypeScript JSX", 0, 0, 12, 0, 6, 3, 21
"e:\project_program\project_blockos\src\components\shells\README.md", "Markdown", 0, 0, 0, 259, 0, 51, 310
"e:\project_program\project_blockos\src\components\shells\SearchInput.tsx", "TypeScript JSX", 0, 0, 39, 0, 6, 3, 48
"e:\project_program\project_blockos\src\components\shells\index.ts", "TypeScript", 0, 5, 0, 0, 10, 2, 17
"e:\project_program\project_blockos\src\components\ui\badge.tsx", "TypeScript JSX", 0, 0, 41, 0, 0, 6, 47
"e:\project_program\project_blockos\src\components\ui\button.tsx", "TypeScript JSX", 0, 0, 51, 0, 0, 6, 57
"e:\project_program\project_blockos\src\components\ui\card.tsx", "TypeScript JSX", 0, 0, 71, 0, 0, 9, 80
"e:\project_program\project_blockos\src\components\ui\dialog.tsx", "TypeScript JSX", 0, 0, 108, 0, 0, 13, 121
"e:\project_program\project_blockos\src\components\ui\dropdown-menu.tsx", "TypeScript JSX", 0, 0, 181, 0, 0, 18, 199
